êÖånñº,âÕêÏñº,âÕêÏî‘çÜ,ínï˚êÆîıã«,éññ±èäñº,ä«äçèoí£èä,ç∂âEä›,ãóó£ïWñº,à‹ìx,åoìx,ë™ó îNåéì˙,ê›íuì˙,ìPãéì˙
,â∂íqêÏ,,,,,ç∂ä›,0,34.70674482,135.622502,,,
,â∂íqêÏ,,,,,âEä›,0,34.70745599,135.6223569,,,
,â∂íqêÏ,,,,,ç∂ä›,0.1,34.70689466,135.6235785,,,
,â∂íqêÏ,,,,,âEä›,0.1,34.70760583,135.6234333,,,
,â∂íqêÏ,,,,,ç∂ä›,0.2,34.70704449,135.624655,,,
,â∂íqêÏ,,,,,âEä›,0.2,34.70775566,135.6245098,,,
,â∂íqêÏ,,,,,ç∂ä›,0.3,34.70716139,135.6257206,,,
,â∂íqêÏ,,,,,âEä›,0.3,34.7078766,135.6256082,,,
,â∂íqêÏ,,,,,ç∂ä›,0.4,34.70726552,135.6267876,,,
,â∂íqêÏ,,,,,âEä›,0.4,34.70798381,135.6267092,,,
,â∂íqêÏ,,,,,ç∂ä›,0.5,34.70727018,135.6278034,,,
,â∂íqêÏ,,,,,âEä›,0.5,34.70798933,135.6278693,,,
,â∂íqêÏ,,,,,ç∂ä›,0.6,34.70704573,135.6286909,,,
,â∂íqêÏ,,,,,âEä›,0.6,34.70770213,135.6290528,,,
,â∂íqêÏ,,,,,ç∂ä›,0.7,34.70660824,135.6295386,,,
,â∂íqêÏ,,,,,âEä›,0.7,34.70719227,135.630051,,,
,â∂íqêÏ,,,,,ç∂ä›,0.8,34.70600137,135.6301151,,,
,â∂íqêÏ,,,,,âEä›,0.8,34.7064025,135.6308409,,,
,â∂íqêÏ,,,,,ç∂ä›,0.9,34.70526087,135.6306931,,,
,â∂íqêÏ,,,,,âEä›,0.9,34.70562778,135.6314449,,,
,â∂íqêÏ,,,,,ç∂ä›,1,34.70449254,135.6312314,,,
,â∂íqêÏ,,,,,âEä›,1,34.70483563,135.6319996,,,
,â∂íqêÏ,,,,,ç∂ä›,1.1,34.70370804,135.6317228,,,
,â∂íqêÏ,,,,,âEä›,1.1,34.70401905,135.6325107,,,
,â∂íqêÏ,,,,,ç∂ä›,1.2,34.7028964,135.6321923,,,
,â∂íqêÏ,,,,,âEä›,1.2,34.70320379,135.6329823,,,
,â∂íqêÏ,,,,,ç∂ä›,1.3,34.70208088,135.6326576,,,
,â∂íqêÏ,,,,,âEä›,1.3,34.70238827,135.6334476,,,
,â∂íqêÏ,,,,,ç∂ä›,1.4,34.70126536,135.6331228,,,
,â∂íqêÏ,,,,,âEä›,1.4,34.70157274,135.6339128,,,
,â∂íqêÏ,,,,,ç∂ä›,1.5,34.700496,135.633544,,,
,â∂íqêÏ,,,,,âEä›,1.5,34.70069658,135.6343828,,,
,â∂íqêÏ,,,,,ç∂ä›,1.6,34.69969589,135.6337343,,,
,â∂íqêÏ,,,,,âEä›,1.6,34.69973463,135.6346063,,,
,â∂íqêÏ,,,,,ç∂ä›,1.7,34.69890106,135.6335059,,,
,â∂íqêÏ,,,,,âEä›,1.7,34.69861184,135.6343059,,,
,â∂íqêÏ,,,,,ç∂ä›,1.8,34.6981578,135.633112,,,
,â∂íqêÏ,,,,,âEä›,1.8,34.69786858,135.6339119,,,
,â∂íqêÏ,,,,,ç∂ä›,1.9,34.69723021,135.6327334,,,
,â∂íqêÏ,,,,,âEä›,1.9,34.69709567,135.6335913,,,
,â∂íqêÏ,,,,,ç∂ä›,2,34.69623444,135.6327592,,,
,â∂íqêÏ,,,,,âEä›,2,34.69629832,135.633629,,,
,â∂íqêÏ,,,,,ç∂ä›,2.1,34.69532179,135.6328776,,,
,â∂íqêÏ,,,,,âEä›,2.1,34.69541864,135.6337429,,,
,â∂íqêÏ,,,,,ç∂ä›,2.2,34.69438102,135.6329888,,,
,â∂íqêÏ,,,,,âEä›,2.2,34.69456661,135.6338326,,,
,â∂íqêÏ,,,,,ç∂ä›,2.3,34.69353247,135.6332403,,,
,â∂íqêÏ,,,,,âEä›,2.3,34.69366415,135.6340988,,,
,â∂íqêÏ,,,,,ç∂ä›,2.4,34.69272446,135.6332412,,,
,â∂íqêÏ,,,,,âEä›,2.4,34.69267758,135.6341125,,,
,â∂íqêÏ,,,,,ç∂ä›,2.5,34.69185231,135.6331446,,,
,â∂íqêÏ,,,,,âEä›,2.5,34.69175529,135.6340098,,,
,â∂íqêÏ,,,,,ç∂ä›,2.6,34.69093848,135.6330178,,,
,â∂íqêÏ,,,,,âEä›,2.6,34.69087843,135.6338879,,,
,â∂íqêÏ,,,,,ç∂ä›,2.7,34.69002398,135.632944,,,
,â∂íqêÏ,,,,,âEä›,2.7,34.6899943,135.6338164,,,
,â∂íqêÏ,,,,,ç∂ä›,2.8,34.68911088,135.6329173,,,
,â∂íqêÏ,,,,,âEä›,2.8,34.68910515,135.6337904,,,
,â∂íqêÏ,,,,,ç∂ä›,2.9,34.68819808,135.6329133,,,
,â∂íqêÏ,,,,,âEä›,2.9,34.68821506,135.6337862,,,
,â∂íqêÏ,,,,,ç∂ä›,3,34.68729375,135.6329424,,,
,â∂íqêÏ,,,,,âEä›,3,34.68731702,135.633815,,,
,â∂íqêÏ,,,,,ç∂ä›,3.1,34.68639271,135.6329776,,,
,â∂íqêÏ,,,,,âEä›,3.1,34.68641598,135.6338502,,,
,â∂íqêÏ,,,,,ç∂ä›,3.2,34.68548988,135.6330168,,,
,â∂íqêÏ,,,,,âEä›,3.2,34.68551696,135.6338892,,,
,â∂íqêÏ,,,,,ç∂ä›,3.3,34.68458901,135.6330577,,,
,â∂íqêÏ,,,,,âEä›,3.3,34.68461609,135.6339302,,,
,â∂íqêÏ,,,,,ç∂ä›,3.4,34.68368944,135.6330963,,,
,â∂íqêÏ,,,,,âEä›,3.4,34.68371377,135.6339689,,,
,â∂íqêÏ,,,,,ç∂ä›,3.5,34.68282959,135.6330724,,,
,â∂íqêÏ,,,,,âEä›,3.5,34.68277386,135.6339428,,,
,â∂íqêÏ,,,,,ç∂ä›,3.6,34.68191711,135.6330108,,,
,â∂íqêÏ,,,,,âEä›,3.6,34.68188636,135.6338831,,,
,â∂íqêÏ,,,,,ç∂ä›,3.7,34.68101642,135.6329643,,,
,â∂íqêÏ,,,,,âEä›,3.7,34.68098567,135.6338365,,,
,â∂íqêÏ,,,,,ç∂ä›,3.8,34.6801128,135.6329251,,,
,â∂íqêÏ,,,,,âEä›,3.8,34.68008744,135.6337976,,,
,â∂íqêÏ,,,,,ç∂ä›,3.9,34.67924162,135.6328334,,,
,â∂íqêÏ,,,,,âEä›,3.9,34.67916311,135.6337013,,,
,â∂íqêÏ,,,,,ç∂ä›,4,34.67834056,135.6327205,,,
,â∂íqêÏ,,,,,âEä›,4,34.67827076,135.6335895,,,
,â∂íqêÏ,,,,,ç∂ä›,4.1,34.67741237,135.6326625,,,
,â∂íqêÏ,,,,,âEä›,4.1,34.67739922,135.6335354,,,
,â∂íqêÏ,,,,,ç∂ä›,4.2,34.67650564,135.6326561,,,
,â∂íqêÏ,,,,,âEä›,4.2,34.67650299,135.6335291,,,
,â∂íqêÏ,,,,,ç∂ä›,4.3,34.67560414,135.6326521,,,
,â∂íqêÏ,,,,,âEä›,4.3,34.67560149,135.633525,,,
,â∂íqêÏ,,,,,ç∂ä›,4.4,34.67470263,135.6326481,,,
,â∂íqêÏ,,,,,âEä›,4.4,34.67469998,135.633521,,,
,â∂íqêÏ,,,,,ç∂ä›,4.5,34.67380113,135.6326441,,,
,â∂íqêÏ,,,,,âEä›,4.5,34.67379848,135.633517,,,
,â∂íqêÏ,,,,,ç∂ä›,4.6,34.67289963,135.63264,,,
,â∂íqêÏ,,,,,âEä›,4.6,34.67289698,135.633513,,,
,â∂íqêÏ,,,,,ç∂ä›,4.7,34.67199812,135.632636,,,
,â∂íqêÏ,,,,,âEä›,4.7,34.67199547,135.633509,,,
,â∂íqêÏ,,,,,ç∂ä›,4.8,34.67112493,135.6325483,,,
,â∂íqêÏ,,,,,âEä›,4.8,34.6710722,135.6334189,,,
,â∂íqêÏ,,,,,ç∂ä›,4.9,34.67023482,135.6324583,,,
,â∂íqêÏ,,,,,âEä›,4.9,34.67016567,135.6333272,,,
,â∂íqêÏ,,,,,ç∂ä›,5,34.66930959,135.6323902,,,
,â∂íqêÏ,,,,,âEä›,5,34.66929238,135.6332629,,,
,â∂íqêÏ,,,,,ç∂ä›,5.1,34.6684101,135.632361,,,
