êÖånñº,âÕêÏñº,âÕêÏî‘çÜ,ínï˚êÆîıã«,éññ±èäñº,ä«äçèoí£èä,ç∂âEä›,ãóó£ïWñº,à‹ìx,åoìx,ë™ó îNåéì˙,ê›íuì˙,ìPãéì˙
,òaë©êÏ,,,,,ç∂ä›,0,34.76527548,135.8770144,,,
,òaë©êÏ,,,,,âEä›,0,34.76565009,135.8760207,,,
,òaë©êÏ,,,,,ç∂ä›,0.1,34.76603351,135.8774946,,,
,òaë©êÏ,,,,,âEä›,0.1,34.76648847,135.8765514,,,
,òaë©êÏ,,,,,ç∂ä›,0.2,34.76683249,135.8780453,,,
,òaë©êÏ,,,,,âEä›,0.2,34.76725647,135.8770812,,,
,òaë©êÏ,,,,,ç∂ä›,0.3,34.76762399,135.8785608,,,
,òaë©êÏ,,,,,âEä›,0.3,34.76805313,135.8776001,,,
,òaë©êÏ,,,,,ç∂ä›,0.4,34.76842198,135.8790784,,,
,òaë©êÏ,,,,,âEä›,0.4,34.76884481,135.8781135,,,
,òaë©êÏ,,,,,ç∂ä›,0.5,34.76922502,135.8795902,,,
,òaë©êÏ,,,,,âEä›,0.5,34.76963752,135.8786188,,,
,òaë©êÏ,,,,,ç∂ä›,0.6,34.76993315,135.8801557,,,
,òaë©êÏ,,,,,âEä›,0.6,34.77043515,135.8792482,,,
,òaë©êÏ,,,,,ç∂ä›,0.7,34.77081561,135.8808144,,,
,òaë©êÏ,,,,,âEä›,0.7,34.77105831,135.8797622,,,
,òaë©êÏ,,,,,ç∂ä›,0.8,34.77137513,135.8812128,,,
,òaë©êÏ,,,,,âEä›,0.8,34.77202221,135.8804521,,,
,òaë©êÏ,,,,,ç∂ä›,0.9,34.77234188,135.8820279,,,
,òaë©êÏ,,,,,âEä›,0.9,34.77234081,135.8809353,,,
,òaë©êÏ,,,,,ç∂ä›,1,34.77342138,135.881583,,,
,òaë©êÏ,,,,,âEä›,1,34.77289836,135.8806931,,,
,òaë©êÏ,,,,,ç∂ä›,1.1,34.77364362,135.8811449,,,
,òaë©êÏ,,,,,âEä›,1.1,34.77406254,135.8801775,,,
,òaë©êÏ,,,,,ç∂ä›,1.2,34.77412303,135.8819485,,,
,òaë©êÏ,,,,,âEä›,1.2,34.77462221,135.8810387,,,
,òaë©êÏ,,,,,ç∂ä›,1.3,34.77481722,135.8826089,,,
,òaë©êÏ,,,,,âEä›,1.3,34.77534035,135.8817191,,,
,òaë©êÏ,,,,,ç∂ä›,1.4,34.77613997,135.8819423,,,
,òaë©êÏ,,,,,âEä›,1.4,34.77527736,135.8816249,,,
,òaë©êÏ,,,,,ç∂ä›,1.5,34.77618536,135.8805879,,,
,òaë©êÏ,,,,,âEä›,1.5,34.77530555,135.8808262,,,
,òaë©êÏ,,,,,ç∂ä›,1.6,34.77637541,135.8798416,,,
,òaë©êÏ,,,,,âEä›,1.6,34.77508676,135.8794482,,,
,òaë©êÏ,,,,,ç∂ä›,1.7,34.77629985,135.8796256,,,
,òaë©êÏ,,,,,âEä›,1.7,34.77649446,135.8785587,,,
,òaë©êÏ,,,,,ç∂ä›,1.8,34.7771824,135.8798952,,,
,òaë©êÏ,,,,,âEä›,1.8,34.77735814,135.8788235,,,
,òaë©êÏ,,,,,ç∂ä›,1.9,34.77839051,135.8796238,,,
,òaë©êÏ,,,,,âEä›,1.9,34.77788661,135.8787178,,,
,òaë©êÏ,,,,,ç∂ä›,2,34.7789229,135.8799259,,,
,òaë©êÏ,,,,,âEä›,2,34.77894022,135.8788335,,,
,òaë©êÏ,,,,,ç∂ä›,2.1,34.77992028,135.8795475,,,
,òaë©êÏ,,,,,âEä›,2.1,34.77961118,135.8785211,,,
,òaë©êÏ,,,,,ç∂ä›,2.2,34.78000803,135.8797523,,,
,òaë©êÏ,,,,,âEä›,2.2,34.78084545,135.8793477,,,
,òaë©êÏ,,,,,ç∂ä›,2.3,34.78027191,135.8807379,,,
,òaë©êÏ,,,,,âEä›,2.3,34.78113884,135.8804382,,,
,òaë©êÏ,,,,,ç∂ä›,2.4,34.78043121,135.8817463,,,
,òaë©êÏ,,,,,âEä›,2.4,34.78132128,135.8815729,,,
,òaë©êÏ,,,,,ç∂ä›,2.5,34.78062606,135.8828497,,,
,òaë©êÏ,,,,,âEä›,2.5,34.78150455,135.8826044,,,
,òaë©êÏ,,,,,ç∂ä›,2.6,34.78069738,135.8838044,,,
,òaë©êÏ,,,,,âEä›,2.6,34.78159883,135.8838157,,,
,òaë©êÏ,,,,,ç∂ä›,2.7,34.78066969,135.88493,,,
,òaë©êÏ,,,,,âEä›,2.7,34.78156985,135.8848705,,,
,òaë©êÏ,,,,,ç∂ä›,2.8,34.78099907,135.8862118,,,
,òaë©êÏ,,,,,âEä›,2.8,34.78176978,135.8856449,,,
,òaë©êÏ,,,,,ç∂ä›,2.9,34.78188005,135.8871266,,,
,òaë©êÏ,,,,,âEä›,2.9,34.78224266,135.8861263,,,
,òaë©êÏ,,,,,ç∂ä›,3,34.7830009,135.887382,,,
,òaë©êÏ,,,,,âEä›,3,34.78285929,135.8863029,,,
,òaë©êÏ,,,,,ç∂ä›,3.1,34.78391546,135.8867615,,,
,òaë©êÏ,,,,,âEä›,3.1,34.78347192,135.8858103,,,
,òaë©êÏ,,,,,ç∂ä›,3.2,34.78453128,135.8866166,,,
,òaë©êÏ,,,,,âEä›,3.2,34.78459124,135.8855264,,,
,òaë©êÏ,,,,,ç∂ä›,3.3,34.78545526,135.886816,,,
,òaë©êÏ,,,,,âEä›,3.3,34.78546935,135.8852709,,,
,òaë©êÏ,,,,,ç∂ä›,3.4,34.78630777,135.8868804,,,
,òaë©êÏ,,,,,âEä›,3.4,34.78641278,135.8854251,,,
,òaë©êÏ,,,,,ç∂ä›,3.5,34.7874256,135.8866939,,,
,òaë©êÏ,,,,,âEä›,3.5,34.78705794,135.8853915,,,
,òaë©êÏ,,,,,ç∂ä›,3.6,34.7878852,135.8866352,,,
,òaë©êÏ,,,,,âEä›,3.6,34.78832628,135.8856822,,,
,òaë©êÏ,,,,,ç∂ä›,3.7,34.78927307,135.8865078,,,
,òaë©êÏ,,,,,âEä›,3.7,34.78870006,135.8856642,,,
,òaë©êÏ,,,,,ç∂ä›,3.8,34.78947797,135.8864098,,,
,òaë©êÏ,,,,,âEä›,3.8,34.79012543,135.8856494,,,
,òaë©êÏ,,,,,ç∂ä›,3.9,34.78978568,135.8871375,,,
,òaë©êÏ,,,,,âEä›,3.9,34.79064751,135.8868169,,,
