0,0,0,,,,66,,,,,0,,,óÑêÏêÖån,çªêÏÅiû[êÏçáó¨Åj,,,,,1,0.033
0,-25,168.522,,,,,,,,,,,,,,,,,,,
0,-19.281,168.215,,,,,,,,,,,,,,,,,,,
0,-19.263,168.214,,,,,,,,,,,,,,,,,,,
0,-19.255,168.214,,,,,,,,,,,,,,,,,,,
0,-19.249,168.214,,,,,,,,,,,,,,,,,,,
0,-19.024,168.211,,,,,,,,,,,,,,,,,,,
0,-13.021,168.189,,,,,,,,,,,,,,,,,,,
0,-12.797,168.218,,,,,,,,,,,,,,,,,,,
0,-12.47,168.187,,,,,,,,,,,,,,,,,,,
0,-9.723,168.437,,,,,,,,,,,,,,,,,,,
0,-9.694,168.441,,,,,,,,,,,,,,,,,,,
0,-9.683,168.441,,,,,,,,,,,,,,,,,,,
0,-8.909,168.466,,,,,,,,,,,,,,,,,,,
0,-6.05,168.569,,,,,,,,,,,,,,,,,,,
0,-5.938,168.558,,,,,,,,,,,,,,,,,,,
0,-5.765,168.567,,,,,,,,,,,,,,,,,,,
0,-3.373,168.564,,,,,,,,,,,,,,,,,,,
0,-2.735,167.942,,,,,,,,,,,,,,,,,,,
0,-2.124,167.273,,,,,,,,,,,,,,,,,,,
0,0.374,165.037,,,,,,,,,,,,,,,,,,,
0,0.942,165.051,,,,,,,,,,,,,,,,,,,
0,1.69,166.756,,,,,,,,,,,,,,,,,,,
0,2.285,167.795,,,,,,,,,,,,,,,,,,,
0,3.328,168.405,,,,,,,,,,,,,,,,,,,
0,3.379,168.432,,,,,,,,,,,,,,,,,,,
0,3.417,168.445,,,,,,,,,,,,,,,,,,,
0,4.267,168.576,,,,,,,,,,,,,,,,,,,
0,4.979,168.623,,,,,,,,,,,,,,,,,,,
0,5.135,168.616,,,,,,,,,,,,,,,,,,,
0,5.33,168.568,,,,,,,,,,,,,,,,,,,
0,6.022,168.42,,,,,,,,,,,,,,,,,,,
0,6.682,168.305,,,,,,,,,,,,,,,,,,,
0,6.895,168.294,,,,,,,,,,,,,,,,,,,
0,7.128,168.309,,,,,,,,,,,,,,,,,,,
0,8.154,168.375,,,,,,,,,,,,,,,,,,,
0,9.128,168.403,,,,,,,,,,,,,,,,,,,
0,9.505,168.406,,,,,,,,,,,,,,,,,,,
0,10.195,168.404,,,,,,,,,,,,,,,,,,,
0,10.617,168.403,,,,,,,,,,,,,,,,,,,
0,10.844,168.392,,,,,,,,,,,,,,,,,,,
0,11.573,168.367,,,,,,,,,,,,,,,,,,,
0,12.167,168.38,,,,,,,,,,,,,,,,,,,
0,12.458,168.394,,,,,,,,,,,,,,,,,,,
0,12.823,168.382,,,,,,,,,,,,,,,,,,,
0,13.51,168.378,,,,,,,,,,,,,,,,,,,
0,14.568,168.316,,,,,,,,,,,,,,,,,,,
